/* DATA DESCRIPTION:
Citation:	Kuhn, Gerhard; Bohrmann, Gerhard (1996): Sedimentology of core PS1768-8 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.51126
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)
	Silicon Cycling in the World Ocean (SINOPS)
Funding:	Fourth Framework Programme (FP4), grant/award no. MAS3970141: Silicon Cycling in the World Ocean (URI: https://cordis.europa.eu/project/id/MAS3970141)
Coverage:	LATITUDE: -52.593000 * LONGITUDE: 4.476000
	DATE/TIME START: 1989-11-11T21:40:00 * DATE/TIME END: 1989-11-11T21:40:00
	MINIMUM DEPTH, sediment/rock: 0.02 m * MAXIMUM DEPTH, sediment/rock: 8.94 m
Event(s):	PS1768-8 (PS16/311) (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS1768-stationcard.pdf) * LATITUDE: -52.593000 * LONGITUDE: 4.476000 * DATE/TIME: 1989-11-11T21:40:00 * ELEVATION: -3299.0 m * Recovery: 8.96 m * LOCATION: Shona Ridge * CAMPAIGN: ANT-VIII/3 (PS16) (URI: https://doi.org/10.2312/BzP_0074_1990) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Gravity corer (Kiel type) (SL) * COMMENT: 10 core sections: 0-0.44, 0.44-1.06, 1.06-2.06, 2.06-3.06, 3.06-4.06, 4.06-5.04, 5.04-6.04, 6.04-7.04, 7.04-8.04, 8.04-8.96 m
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Water content, wet mass [%] (Water wm) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de)
	Density [g/cm**3] (Density) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Pycnometer (Micromeritics)
	Density, wet bulk [g/cm**3] (WBD) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Pycnometer (Micromeritics)
	Porosity [% vol] (Poros) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Pycnometer (Micromeritics)
	Density, grain [g/cm**3] (Density grain) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Pycnometer (Micromeritics)
	Calcium carbonate [%] (CaCO3) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Carbon, organic, total [%] (TOC) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Quartz [%] (Qz) * PI: Bohrmann, Gerhard (https://orcid.org/0000-0001-9976-4948, gbohrmann@marum.de) * METHOD/DEVICE: X-ray diffraction (XRD)
	Feldspar 3.18 Å (Plagioclase)/standard ratio (Pl 3.18 Å/std) * PI: Bohrmann, Gerhard (https://orcid.org/0000-0001-9976-4948, gbohrmann@marum.de) * METHOD/DEVICE: X-ray diffraction (XRD)
	Opal, biogenic silica [%] (bSiO2) * PI: Bohrmann, Gerhard (https://orcid.org/0000-0001-9976-4948, gbohrmann@marum.de) * METHOD/DEVICE: X-ray diffraction (XRD)
	Gravel, mass netto [g] (Gravel) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Sand, mass netto [g] (Sand) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Silt, mass netto [g] (Silt) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Clay, mass netto [g] (Clay) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Size fraction > 2 mm, gravel [%] (>2 mm) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Sand [%] (Sand) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Silt [%] (Silt) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Size fraction < 0.002 mm, clay [%] (<2 µm) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	1723 data points
*/
Depth sed [m]	Water wm [%]	Density [g/cm**3]	WBD [g/cm**3]	Poros [% vol]	Density grain [g/cm**3]	CaCO3 [%]	TOC [%]	Qz [%]	Pl 3.18 Å/std	bSiO2 [%]	Gravel [g]	Sand [g]	Silt [g]	Clay [g]	>2 mm [%]	Sand [%]	Silt [%]	<2 µm [%]
3.10	41.74	2.18	1.4654	61.891	2.182	0.60	0.240	3.21	0.2200	46.00	0.03	0.36	1.32	0.77	1.29	14.50	53.10	31.12
3.20	42.24	2.13	1.4465	61.831	2.131	0.83	0.300	3.06	0.2000	50.00	0.00	0.20	1.20	0.61	0.00	9.96	59.55	30.48
3.30	42.45	2.04	1.4198	60.985	2.038	0.12	0.340	3.28	0.2300	50.00	0.08	0.33	1.46	0.82	2.90	12.21	54.44	30.46
3.40	42.26	2.21	1.4670	62.744	2.213	0.12	0.320	4.02	0.2100	52.00	0.00	0.37	1.35	0.71	0.00	15.32	55.34	29.34
3.50	42.19	2.21	1.4678	62.675	2.213	0.32	0.390	4.10	0.2300	38.00	0.00	0.39	1.25	0.68	0.00	16.85	53.86	29.29
3.60	42.12	2.15	1.4531	61.938	2.151	0.12	0.410	4.18	0.2400	36.00	0.30	0.36	1.19	0.60	12.39	14.69	48.50	24.42
3.70	41.94	2.13	1.4497	61.537	2.131	0.24	0.340	6.62	0.1900	39.00	0.05	0.43	1.54	0.76	1.71	15.33	55.49	27.47
3.80	41.19	2.16	1.4663	61.121	2.162	0.26	0.260	8.30	0.1900	49.00	0.01	0.29	2.06	0.96	0.43	8.80	61.92	28.85
3.90	39.99	2.26	1.5076	61.007	2.264	0.32	0.210	6.56	0.2600	40.00	0.00	0.45	1.97	0.97	0.00	13.31	58.04	28.65
4.00	39.93	2.30	1.5190	61.373	2.305	0.26	0.240	6.50	0.2100	30.00	0.00	0.56	1.72	0.86	0.00	17.73	54.75	27.52
4.04	41.00	2.24	1.4898	61.817	2.244	0.50	0.250	5.90	0.1700	30.00	0.00	0.74	1.83	0.81	0.00	21.99	54.03	23.97
4.10	40.45	2.21	1.4885	60.929	2.213	0.42	0.320	5.14	0.1600	36.00	0.00	0.74	1.92	0.86	0.00	21.12	54.56	24.33
4.20	41.47	2.19	1.4711	61.740	2.192	0.45	0.370	7.60	0.1500	49.00	0.01	0.27	1.52	0.85	0.48	10.19	57.29	32.04
4.30	40.66	2.19	1.4806	60.918	2.192	0.12	0.260	8.93	0.1800	26.00	0.03	0.46	1.82	0.90	0.98	14.33	56.66	28.03
4.40	39.69	2.25	1.5086	60.596	2.254	0.75	0.200	5.57	0.1500	24.00	0.00	0.68	2.14	1.02	0.00	17.74	55.66	26.60
4.50	37.35	2.38	1.5754	59.543	2.387	0.72	0.140	6.03	0.3500	28.00	0.00	1.16	2.04	0.90	0.11	28.33	49.74	21.83
4.60	38.58	2.31	1.5393	60.100	2.315	0.59	0.170	19.13	0.3400	30.00	0.05	0.73	1.89	0.97	1.34	19.96	51.97	26.74
4.70	40.00	2.20	1.4912	60.359	2.203	0.23	0.160	5.25	0.1700	50.00	0.02	0.42	1.67	0.78	0.81	14.46	57.82	26.91
4.80	39.39	2.27	1.5179	60.505	2.274	0.23	0.170	3.66	0.2500	34.00	0.03	1.27	2.07	1.16	0.59	28.03	45.79	25.59
4.90	40.88	2.21	1.4833	61.367	2.213	0.29	0.320	5.43	0.1900	32.00	0.03	0.29	1.48	1.07	1.16	10.05	51.63	37.16
5.00	40.70	2.23	1.4909	61.399	2.234	0.22	0.250	6.54	0.2000	29.00	0.00	0.28	1.34	1.01	0.00	10.82	50.80	38.38
5.10	41.87	2.19	1.4664	62.140	2.192	0.31	0.270	5.80	0.2100	25.00	0.00	0.35	1.46	1.06	0.00	12.18	50.93	36.89
5.20	40.98	2.20	1.4795	61.355	2.203	0.25	0.240	5.89	0.2400	25.00	0.00	0.37	1.91	1.37	0.00	10.08	52.35	37.57
5.30	41.69	2.15	1.4579	61.514	2.151	0.23	0.240	5.60	0.1700	35.00	0.00	0.26	1.43	1.13	0.00	9.09	50.88	40.03
5.40	41.52	2.16	1.4626	61.449	2.162	1.80	0.240	5.80	0.2100	46.00	0.00	0.32	1.84	1.20	0.00	9.62	54.83	35.55
5.50	40.89	2.19	1.4779	61.156	2.192	0.16	0.230	4.94	0.1900	41.00	0.00	0.26	1.50	0.89	0.00	9.78	56.58	33.63
5.60	40.94	2.17	1.4719	60.978	2.172	0.36	0.200	7.98	0.1700	34.00	0.12	0.21	1.48	0.97	4.32	7.65	53.22	34.81
5.70	40.21	2.22	1.4941	60.797	2.223	4.02	0.160	4.42	0.1900	34.00	0.03	0.39	1.63	0.82	0.89	13.78	56.78	28.54
5.80	40.40	2.19	1.4836	60.660	2.192	3.07	0.140	2.01	0.2300	31.00	0.01	0.55	1.81	0.84	0.32	17.18	56.37	26.13
5.90	40.06	2.22	1.4960	60.640	2.223	4.13	0.150	2.46	0.5100	43.00	0.04	0.39	1.47	0.70	1.44	14.96	56.51	27.09
6.00	40.06	2.18	1.4849	60.201	2.182	9.38	0.120	1.24	0.3600	51.00	0.03	0.26	1.56	0.62	1.12	10.51	63.14	25.23
6.10	40.51	2.06	1.4456	59.265	2.059	12.29	0.140	1.49	0.0600	44.00	0.00	0.30	1.95	0.78	0.00	9.89	64.42	25.69
6.20	41.69	2.00	1.4160	59.735	1.998	8.03	0.150	1.29	0.1500	69.00	0.00	0.21	1.93	0.91	0.00	6.74	63.33	29.94
6.30	40.43	2.13	1.4667	60.003	2.131	0.07	0.140	2.15	0.3100	33.00	0.00	0.45	1.86	0.91	0.00	14.08	57.71	28.21
6.40	40.36	2.16	1.4759	60.274	2.162	0.88	0.140	3.42	0.2800	33.00	0.00	0.47	1.47	0.73	0.00	17.48	55.12	27.40
6.50	41.12	2.13	1.4589	60.706	2.131	3.73	0.150	1.94	0.2600	53.00	0.00	0.38	1.80	0.69	0.00	13.11	62.74	24.14
6.60	40.92	2.11	1.4555	60.277	2.110	6.69	0.150	2.83	0.2100	82.00	0.00	0.16	1.86	0.66	0.00	6.01	69.43	24.56
6.70	41.52	2.13	1.4544	61.112	2.131	6.76	0.150	1.99	0.1200	83.00	0.05	0.21	1.94	0.60	1.80	7.40	69.43	21.37
6.80	41.01	2.14	1.4629	60.708	2.141	4.97	0.140	1.34	0.0800	66.00	0.00	0.26	2.16	0.67	0.00	8.60	69.79	21.61
6.90	40.86	2.15	1.4673	60.673	2.151	3.26	0.140	0.83	0.0700	80.00	0.16	0.23	1.92	0.62	5.29	7.86	65.70	21.15
7.00	40.31	2.13	1.4680	59.887	2.131	2.56	0.130	1.37	0.1300	67.00	0.07	0.32	1.74	0.71	2.47	11.17	61.22	25.15
7.10	40.01	2.15	1.4771	59.805	2.151	0.95	0.110	1.33	0.2600	62.00	0.00	0.31	1.87	0.70	0.00	10.72	65.02	24.26
7.20	40.82	2.28	1.5023	62.068	2.285	2.44	0.120	2.38	0.4800	50.00	0.10	0.56	1.90	0.82	2.95	16.58	56.18	24.30
7.30	42.22	2.03	1.4193	60.639	2.028	1.59	0.130	1.14	0.0600	77.00	0.00	0.18	1.43	0.62	0.00	7.95	64.28	27.78
7.40	43.28	1.96	1.3891	60.842	1.956	1.49	0.120	0.28	0.0100	92.00	0.00	0.13	1.97	0.70	0.00	4.67	70.29	25.04
7.50	42.57	1.93	1.3869	59.751	1.926	2.73	0.140	0.31	0.0300	81.00	0.00	0.10	1.87	0.72	0.00	3.74	69.46	26.80
7.60	43.11	2.00	1.4020	61.162	1.997	1.92	0.180	0.17	0.0200	93.00	0.00	0.11	1.84	0.68	0.00	4.16	70.08	25.76
7.70	42.64	1.99	1.4038	60.570	1.987	0.56	0.160	0.00	0.0100	91.00	0.00	0.09	2.09	0.76	0.00	3.08	70.94	25.99
7.80	43.18	2.00	1.4014	61.229	1.997	0.55	0.160	0.00	0.0100	89.00	0.00	0.13	2.15	0.79	0.00	4.25	70.02	25.73
7.90	43.19	2.01	1.4040	61.363	2.008	4.86	0.180	0.00	0.0200	92.00	0.00	0.07	1.76	0.71	0.00	2.88	69.11	28.01
8.00	42.64	2.06	1.4233	61.418	2.059	13.14	0.120	0.00	0.0100	77.00	0.00	0.08	1.08	0.57	0.00	4.84	62.34	32.82
8.10	43.14	1.97	1.3933	60.821	1.967	0.66	0.180	0.00	0.0200	95.00	0.00	0.08	1.30	0.52	0.00	4.36	68.40	27.24
8.20	43.81	2.00	1.3952	61.858	1.997	0.46	0.210	0.16	0.0100	94.00	0.00	0.13	1.18	0.59	0.00	6.85	62.17	30.97
8.30	41.98	2.01	1.4159	60.159	2.008	0.06	0.240	1.56	0.1000	45.00	0.00	0.14	1.72	0.74	0.00	5.33	66.27	28.41
8.40	40.39	2.27	1.5052	61.525	2.275	0.15	0.370	3.30	0.2700	35.00	0.00	0.46	1.65	1.03	0.00	14.74	52.41	32.85
8.50	39.82	2.21	1.4961	60.289	2.213	0.15	0.320	4.55	0.3700	26.00	0.00	0.50	1.64	1.14	0.00	15.19	50.02	34.79
8.60	39.49	2.28	1.5193	60.711	2.285	0.00	0.310	4.37	0.3100	22.00	0.02	0.49	1.58	1.14	0.73	15.04	49.03	35.19
8.70	40.20	2.26	1.5050	61.219	2.264	0.06	0.260	11.15	0.1600	28.00	0.00	0.35	1.73	1.15	0.00	10.89	53.65	35.46
8.80	39.96	2.19	1.4889	60.210	2.192	0.01	0.310	7.20	0.1400	33.00	0.02	0.40	1.50	0.95	0.54	13.84	52.50	33.12
8.90	39.86	2.18	1.4872	59.998	2.182	0.00	0.290	3.69	0.1200	32.00	0.10	0.34	1.58	1.04	3.12	11.16	51.64	34.08
8.94	39.98	2.17	1.4830	60.007	2.172	0.01	0.270	5.48	0.1900	47.00	0.01	0.27	1.76	1.01	0.39	8.87	57.78	32.96
