/* DATA DESCRIPTION:
Citation:	Studer, Anja S; Sigman, Daniel M; Martínez‐García, Alfredo; Benz, Verena; Winckler, Gisela; Kuhn, Gerhard; Esper, Oliver; Lamy, Frank; Jaccard, Samuel L; Wacker, Lukas; Oleynik, Sergey; Gersonde, Rainer; Haug, Gerald H (2015): Ba/Fe ratio of sediment core PS75/072-4 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.848269, 
	In supplement to: Studer, AS et al. (2015): Antarctic Zone nutrient conditions during the last two glacial cycles. Paleoceanography, 30(7), 845-862, https://doi.org/10.1002/2014PA002745
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)
Coverage:	LATITUDE: -57.558500 * LONGITUDE: -151.219500
	DATE/TIME START: 2009-12-29T21:50:00 * DATE/TIME END: 2009-12-29T21:50:00
	MINIMUM DEPTH, sediment/rock: 0.01 m * MAXIMUM DEPTH, sediment/rock: 9.60 m
Event(s):	PS75/072-4 * LATITUDE: -57.558500 * LONGITUDE: -151.219500 * DATE/TIME: 2009-12-29T21:50:00 * ELEVATION: -3099.0 m * Recovery: 9.61 m * LOCATION: South Pacific Ocean * CAMPAIGN: ANT-XXVI/2 (PS75 BIPOMAC) (URI: https://doi.org/10.2312/BzPM_0632_2011) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Gravity corer (Kiel type) (SL)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Studer, Anja S (https://orcid.org/0000-0001-7354-8497, anja.studer@unibas.ch, https://duw.unibas.ch/de/bgc/team/studer/)
	AGE [ka BP] (Age) * GEOCODE * PI: Studer, Anja S (https://orcid.org/0000-0001-7354-8497, anja.studer@unibas.ch, https://duw.unibas.ch/de/bgc/team/studer/)
	Barium/Iron ratio (Ba/Fe) * PI: Studer, Anja S (https://orcid.org/0000-0001-7354-8497, anja.studer@unibas.ch, https://duw.unibas.ch/de/bgc/team/studer/)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	951 data points
*/
Depth sed [m]	Age [ka BP]	Ba/Fe
3.46	95.121	0.281
3.47	95.281	0.292
3.48	95.441	0.305
3.49	95.601	0.305
3.50	95.761	0.280
3.51	95.921	0.309
3.52	96.081	0.300
3.53	96.241	0.303
3.55	96.562	0.304
3.56	96.722	0.281
3.57	96.882	0.288
3.58	97.042	0.345
3.59	97.202	0.317
3.60	97.362	0.317
3.61	97.522	0.323
3.62	97.682	0.348
3.63	97.842	0.348
3.64	98.002	0.368
3.65	98.162	0.330
3.66	98.322	0.364
3.67	98.482	0.403
3.68	98.642	0.304
3.69	98.802	0.329
3.70	98.962	0.330
3.71	99.122	0.330
3.72	99.282	0.343
3.73	99.442	0.297
3.74	99.602	0.350
3.75	99.762	0.336
3.76	99.922	0.250
3.77	100.082	0.211
3.78	100.242	0.284
3.79	100.402	0.317
3.80	100.562	0.326
3.81	100.722	0.332
3.82	100.882	0.322
3.83	101.042	0.315
3.84	101.202	0.316
3.85	101.362	0.337
3.86	101.522	0.303
3.87	101.682	0.328
3.88	101.842	0.330
3.89	102.002	0.342
3.90	102.162	0.329
3.91	102.322	0.390
3.92	102.482	0.353
3.93	102.642	0.320
3.94	102.802	0.336
3.95	102.962	0.324
3.96	103.122	0.349
3.97	103.282	0.345
3.98	103.442	0.340
3.99	103.602	0.339
4.00	103.762	0.346
4.01	103.922	0.340
4.02	104.082	0.346
4.03	104.242	0.355
4.04	104.402	0.324
4.05	104.562	0.330
4.06	104.697	0.326
4.07	104.792	0.328
4.08	104.886	0.382
4.09	104.981	0.406
4.10	105.075	0.367
4.11	105.170	0.357
4.12	105.264	0.341
4.13	105.358	0.381
4.14	105.453	0.366
4.15	105.547	0.368
4.16	105.642	0.394
4.17	105.736	0.366
4.18	105.831	0.346
4.19	105.925	0.323
4.21	106.114	0.331
4.22	106.208	0.313
4.23	106.303	0.303
4.24	106.397	0.329
4.25	106.492	0.316
4.26	106.586	0.324
4.27	106.681	0.303
4.28	106.775	0.307
4.29	106.870	0.316
4.30	106.964	0.329
4.31	107.058	0.293
4.32	107.153	0.228
4.33	107.247	0.289
4.34	107.342	0.225
4.35	107.436	0.298
4.36	107.531	0.232
4.37	107.625	0.238
4.38	107.719	0.257
4.39	107.814	0.227
4.40	107.908	0.235
4.41	108.003	0.216
4.42	108.097	0.214
4.43	108.192	0.191
4.44	108.286	0.194
4.45	108.381	0.219
4.46	108.475	0.228
4.47	108.569	0.224
4.48	108.664	0.208
4.49	108.758	0.233
4.50	108.853	0.201
4.51	108.947	0.161
4.52	109.042	0.186
4.53	109.136	0.176
4.54	109.231	0.171
4.57	109.514	0.186
4.58	109.608	0.201
4.59	109.703	0.210
4.60	109.797	0.170
4.61	109.892	0.196
4.62	109.986	0.205
4.63	110.080	0.238
4.64	110.175	0.271
4.65	110.269	0.237
4.66	110.364	0.310
4.67	110.458	0.272
4.68	110.553	0.294
4.69	110.647	0.293
4.70	110.742	0.259
4.71	110.821	0.239
4.72	110.896	0.298
4.73	110.970	0.294
4.74	111.045	0.256
4.75	111.120	0.268
4.76	111.195	0.245
4.77	111.270	0.276
4.78	111.345	0.251
4.79	111.420	0.218
4.80	111.495	0.207
4.81	111.569	0.286
4.82	111.644	0.212
4.83	111.719	0.217
4.84	111.794	0.214
4.85	111.869	0.224
4.86	111.944	0.193
4.87	112.019	0.190
4.88	112.094	0.254
4.89	112.168	0.185
4.90	112.243	0.185
4.91	112.318	0.180
4.92	112.393	0.201
4.93	112.468	0.211
4.94	112.543	0.321
4.95	112.618	0.377
4.96	112.693	0.341
4.97	112.768	0.458
4.98	112.842	0.185
4.99	112.917	0.252
5.00	112.992	0.321
5.01	113.067	0.387
5.02	113.142	0.414
5.03	113.217	0.308
5.04	113.292	0.386
5.05	113.367	0.411
5.06	113.441	0.363
5.07	113.516	0.311
5.08	113.591	0.323
5.09	113.666	0.363
5.10	113.741	0.386
5.11	113.816	0.373
5.12	113.891	0.423
5.13	113.966	0.390
5.14	114.040	0.465
5.15	114.115	0.413
5.16	114.190	0.454
5.17	114.265	0.450
5.18	114.340	0.388
5.19	114.415	0.428
5.20	114.593	0.435
5.21	114.781	0.397
5.22	114.970	0.462
5.23	115.158	0.375
5.24	115.346	0.377
5.25	115.534	0.463
5.26	115.723	0.469
5.27	115.911	0.469
5.28	116.099	0.384
5.29	116.287	0.349
5.30	116.476	0.396
5.31	116.664	0.333
5.32	116.852	0.337
5.33	117.040	0.401
5.34	117.229	0.457
5.35	117.417	0.453
5.36	117.605	0.459
5.37	117.794	0.440
5.38	117.982	0.397
5.39	118.170	0.449
5.40	118.358	0.520
5.41	118.547	0.593
5.42	118.735	0.462
5.43	118.923	0.497
5.44	119.111	0.489
5.45	119.300	0.531
5.46	119.488	0.557
5.47	119.676	0.493
5.48	119.864	0.463
5.49	120.053	0.519
5.50	120.241	0.542
5.51	120.429	0.555
5.52	120.617	0.499
5.53	120.806	0.543
5.54	120.994	0.391
5.55	121.182	0.456
5.56	121.371	0.449
5.57	121.559	0.468
5.58	121.747	0.223
5.59	121.935	0.207
5.60	122.124	0.305
5.61	122.312	0.568
5.62	122.500	0.513
5.63	122.688	0.595
5.64	122.877	0.530
5.65	123.065	0.564
5.66	123.253	0.460
5.67	123.441	0.493
5.68	123.630	0.569
5.69	123.818	0.553
5.70	124.006	0.567
5.71	124.194	0.526
5.72	124.383	0.551
5.73	124.571	0.475
5.74	124.759	0.547
5.75	124.947	0.515
5.76	125.136	0.482
5.77	125.324	0.448
5.78	125.512	0.551
5.79	125.701	0.516
5.80	125.889	0.547
5.81	126.077	0.522
5.82	126.265	0.496
5.83	126.398	0.498
5.84	126.457	0.465
5.85	126.515	0.420
5.86	126.574	0.478
5.87	126.633	0.519
5.88	126.692	0.513
5.89	126.751	0.539
5.90	126.810	0.461
5.91	126.868	0.521
5.92	126.927	0.465
5.93	126.986	0.440
5.94	127.045	0.442
5.95	127.104	0.446
5.96	127.162	0.390
5.97	127.221	0.432
5.98	127.280	0.468
5.99	127.339	0.459
6.00	127.398	0.427
6.01	127.457	0.403
6.02	127.515	0.524
6.03	127.574	0.419
6.04	127.633	0.392
6.05	127.692	0.414
6.06	127.751	0.458
6.07	127.809	0.441
6.08	127.868	0.461
6.09	127.927	0.518
6.10	127.986	0.394
6.11	128.045	0.410
6.12	128.104	0.400
6.13	128.162	0.374
6.14	128.221	0.395
6.15	128.280	0.348
6.16	128.339	0.392
6.17	128.398	0.403
6.18	128.456	0.315
6.19	128.515	0.343
6.20	128.574	0.383
6.21	128.633	0.380
6.22	128.692	0.341
6.23	128.751	0.417
6.24	128.809	0.423
6.25	128.868	0.317
6.26	128.927	0.298
6.27	128.986	0.315
6.28	129.045	0.348
6.29	129.103	0.316
6.30	129.162	0.319
6.31	129.221	0.272
6.32	129.280	0.256
6.33	129.339	0.263
6.34	129.398	0.319
6.35	129.456	0.293
6.36	129.515	0.319
6.37	129.574	0.305
6.38	129.633	0.317
6.39	129.692	0.321
6.40	129.750	0.281
6.41	129.809	0.301
6.42	129.868	0.288
6.43	129.927	0.282
6.44	129.986	0.307
6.45	130.045	0.275
6.46	130.103	0.288
6.47	130.162	0.298
6.48	130.221	0.313
6.49	130.280	0.244
6.50	130.339	0.272
6.51	130.397	0.223
6.52	130.456	0.194
6.53	130.515	0.242
6.54	130.574	0.289
6.55	130.633	0.232
6.57	130.750	0.209
6.58	130.809	0.208
6.59	130.868	0.210
6.60	130.927	0.195
6.61	130.986	0.184
6.62	131.044	0.173
6.63	131.103	0.176
6.64	131.162	0.173
6.65	131.221	0.170
6.66	131.280	0.180
6.67	131.339	0.190
6.68	131.545	0.166
6.69	131.761	0.173
6.70	131.977	0.177
6.71	132.192	0.200
6.72	132.408	0.184
6.73	132.624	0.177
6.74	132.839	0.179
6.75	133.055	0.167
6.76	133.271	0.171
6.77	133.486	0.183
6.78	133.702	0.211
6.79	133.918	0.197
6.80	134.133	0.207
6.81	134.349	0.375
6.82	134.565	0.370
6.83	134.780	0.248
6.84	134.996	0.158
6.85	135.212	0.160
6.86	135.428	0.127
6.87	135.643	0.107
6.88	135.943	0.096
6.89	136.323	0.135
6.90	136.702	0.080
6.91	137.081	0.086
6.92	137.460	0.104
6.93	137.839	0.086
6.94	138.218	0.090
6.95	138.597	0.073
6.96	138.976	0.062
6.97	139.355	0.065
6.98	139.735	0.070
6.99	141.794	0.073
7.00	143.911	0.067
7.01	146.028	0.070
7.02	148.146	0.074
7.03	150.263	0.064
7.04	152.381	0.066
7.05	154.498	0.068
7.06	156.616	0.075
7.07	158.733	0.088
7.08	160.851	0.077
7.09	162.968	0.070
7.10	165.085	0.084
7.11	167.203	0.096
7.12	169.320	0.129
7.13	171.438	0.146
7.14	173.555	0.140
7.15	175.673	0.172
7.16	177.790	0.262
7.17	179.908	0.254
7.18	182.025	0.179
7.19	184.142	0.225
7.20	186.260	0.153
7.21	186.678	0.139
7.22	186.921	0.259
7.23	187.164	0.216
7.24	187.408	0.212
7.25	187.651	0.235
7.26	187.894	0.258
7.27	188.137	0.266
7.28	188.381	0.200
7.29	188.624	0.130
7.30	188.867	0.211
7.31	189.110	0.220
7.32	189.354	0.207
7.33	189.597	0.170
7.34	189.840	0.213
7.35	190.083	0.175
7.36	190.327	0.281
7.37	190.570	0.220
7.38	190.813	0.298
7.39	191.201	0.277
7.40	191.605	0.293
7.41	192.009	0.321
7.42	192.413	0.334
7.43	192.816	0.306
7.44	193.220	0.290
7.45	193.624	0.290
7.46	194.028	0.302
7.47	194.431	0.352
7.48	194.835	0.347
7.49	195.239	0.410
7.50	195.643	0.389
7.51	196.047	0.365
7.52	196.450	0.382
7.53	196.854	0.374
7.54	197.258	0.397
7.55	197.449	0.417
7.56	197.546	0.406
7.57	197.644	0.395
7.58	197.741	0.381
7.59	197.838	0.377
7.60	197.935	0.334
7.61	198.033	0.392
7.62	198.130	0.310
7.63	198.227	0.351
7.64	198.324	0.363
7.65	198.421	0.362
7.66	198.519	0.449
7.67	198.616	0.436
7.68	198.713	0.432
7.69	198.810	0.458
7.70	198.907	0.409
7.71	199.005	0.380
7.72	199.102	0.393
7.73	199.199	0.373
7.74	199.296	0.419
7.75	199.393	0.439
7.76	199.491	0.393
7.77	199.588	0.405
7.78	199.685	0.482
7.79	199.782	0.430
7.80	199.879	0.393
7.81	199.977	0.370
7.82	200.074	0.401
7.83	200.171	0.401
7.84	200.268	0.432
7.85	200.365	0.429
7.86	200.463	0.330
7.87	200.560	0.281
7.88	200.657	0.272
7.89	200.754	0.286
7.90	200.851	0.374
7.91	200.949	0.265
7.92	201.046	0.230
7.93	201.143	0.307
7.94	201.240	0.222
7.95	201.338	0.252
7.96	201.435	0.242
7.97	201.532	0.243
7.98	201.629	0.220
7.99	201.726	0.214
8.00	201.824	0.205
8.01	201.921	0.207
8.02	202.018	0.208
8.03	202.115	0.257
8.04	202.212	0.246
8.05	202.310	0.241
8.06	202.407	0.238
8.07	202.504	0.236
8.08	202.601	0.262
8.09	202.698	0.290
8.10	202.796	0.266
8.11	202.893	0.262
8.12	202.990	0.251
8.13	203.087	0.295
8.14	203.184	0.267
8.15	203.282	0.269
8.16	203.379	0.269
8.17	203.476	0.314
8.18	203.573	0.306
8.19	203.670	0.301
8.20	203.768	0.295
8.21	203.865	0.307
8.22	203.962	0.367
8.23	204.059	0.321
8.24	204.157	0.320
8.25	204.254	0.371
8.26	204.351	0.334
8.27	204.448	0.312
8.28	204.545	0.343
8.29	204.643	0.324
8.30	204.745	0.333
8.31	204.902	0.392
8.32	205.060	0.325
8.33	205.217	0.313
8.34	205.375	0.325
8.35	205.532	0.327
8.36	205.690	0.326
8.37	205.848	0.319
8.38	206.005	0.280
8.39	206.163	0.289
8.40	206.320	0.297
8.41	206.478	0.299
8.42	206.635	0.284
8.43	206.793	0.290
8.44	206.951	0.372
8.45	207.108	0.321
8.46	207.266	0.300
8.47	207.423	0.303
8.48	207.581	0.314
8.49	207.739	0.291
8.50	207.896	0.311
8.51	208.054	0.288
8.52	208.211	0.274
8.53	208.369	0.289
8.54	208.526	0.297
8.55	208.684	0.263
8.56	208.842	0.309
8.57	208.999	0.244
8.58	209.157	0.265
8.59	209.314	0.241
8.60	209.472	0.246
8.62	209.787	0.179
8.63	209.945	0.186
8.64	210.102	0.173
8.65	210.260	0.184
8.66	210.417	0.218
8.67	210.575	0.198
8.68	210.732	0.199
8.69	210.890	0.215
8.70	211.048	0.192
8.71	211.205	0.168
8.72	211.363	0.153
8.73	211.520	0.150
8.74	211.678	0.139
8.75	211.835	0.130
8.76	211.993	0.125
8.77	212.151	0.167
8.78	212.308	0.232
8.79	212.466	0.292
8.80	212.623	0.278
8.81	212.781	0.276
8.82	212.938	0.275
8.83	213.096	0.272
8.84	213.254	0.247
8.85	213.411	0.264
8.86	213.569	0.273
8.87	213.726	0.291
8.88	213.884	0.286
8.89	214.042	0.270
8.90	214.199	0.282
8.91	214.357	0.293
8.92	214.514	0.268
8.93	214.672	0.272
8.94	214.829	0.253
8.95	214.987	0.247
8.96	215.145	0.253
8.97	215.302	0.254
8.98	215.460	0.248
8.99	215.617	0.274
9.00	215.775	0.286
9.01	215.932	0.290
9.02	216.090	0.276
9.03	216.248	0.264
9.04	216.405	0.264
9.05	216.563	0.276
9.06	216.720	0.253
9.07	216.878	0.282
9.08	217.035	0.288
9.09	217.193	0.275
9.10	217.351	0.256
9.11	217.508	0.265
9.12	217.666	0.199
9.13	217.823	0.096
9.14	217.981	0.106
9.15	218.138	0.098
9.16	218.296	0.087
9.17	218.454	0.085
9.18	218.611	0.102
9.19	218.769	0.157
9.20	218.926	0.126
9.21	219.084	0.124
9.22	219.241	0.140
9.23	219.399	0.175
9.24	219.557	0.271
9.25	219.714	0.305
9.26	219.872	0.239
9.27	220.029	0.111
9.28	220.187	0.098
9.29	220.344	0.122
9.30	220.502	0.100
9.31	220.660	0.188
9.32	220.817	0.254
9.33	220.975	0.187
9.34	221.132	0.167
9.35	221.290	0.187
9.36	221.448	0.206
9.37	221.605	0.229
9.38	221.763	0.149
9.39	221.920	0.226
9.40	222.078	0.308
9.41	222.235	0.204
9.42	222.393	0.185
9.43	222.551	0.162
9.44	222.708	0.148
9.45	222.866	0.150
9.46	223.023	0.184
9.47	223.181	0.139
9.48	223.338	0.132
9.49	223.496	0.131
9.50	223.654	0.170
9.51	223.811	0.250
9.52	223.969	0.309
9.53	224.126	0.216
9.54	224.284	0.215
9.55	224.441	0.421
9.56	224.599	0.372
9.57	224.757	0.188
9.58	224.914	0.351
9.59	225.072	0.325
9.60	225.229	0.244
